NO,Datetime,Type,first peak/valley value,datetime1,second peak/valley value,datetime2,Duration,RSI MA(14),datetime,entry_price,exit_price,MA20,MA50,MA100,MA200,Result (48h) %,Max TP,datetimeTP,Max SL,datetimeSL,gain=1/ loss=0 order,gain first and TP > SL,gain first and TP < SL,loss first and TP > SL,loss first and TP < SL,loss_duration,TP_duration,gain of W=True,gain of X=True,gain of Y=True,gain of Z=True,loss of W=True,loss of X=True,loss of Y=true,loss of Z=True,gain Dur of W=True,gain Dur of X=True,gain Dur of Y=True,gain Dur of Z=True,loss Dur of W=True,loss Dur of X=True,loss Dur of Y=True,loss Dur of Z=True,closing W,closing X,closing Y,closing Z
83,1/11/2024 15:00,Sell,79.38484856,1/11/2024 14:00,55.67968694,1/8/2024 18:00,68:00:00,71.74369257,1/11/2024 15:00,46813.4,43159.7,46227.685,44555.894,43632.392,42984.957,-7.80%,11.62786723,1/12/2024 22:00,-0.539161864,1/11/2024 16:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,31:00:00,0,0,11.62786723,0,0,0,-0.539161864,0,0:00:00,0:00:00,31:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-7.80%,0.00%
87,1/27/2024 0:00,Sell,38.17597818,1/26/2024 11:00,79.38484856,1/11/2024 14:00,357:00:00,39.59398426,1/27/2024 0:00,41772.8,41952.1,41750.19,42023.292,42493.68,42684.8915,0.43%,0.987963459,1/27/2024 9:00,-2.545196875,1/28/2024 5:00,1,FALSE,TRUE,FALSE,FALSE,29:00:00,9:00:00,0,0.987963459,0,0,0,-2.545196875,0,0,0:00:00,9:00:00,0:00:00,0:00:00,0:00:00,29:00:00,0:00:00,0:00:00,0.00%,0.43%,0.00%,0.00%
88,1/30/2024 11:00,Sell,49.20969422,1/29/2024 16:00,61.75931763,1/28/2024 4:00,36:00:00,59.62180716,1/30/2024 11:00,43513.4,42075.9,43218.12,42835.016,42921.518,42922.4545,-3.30%,3.784121673,2/1/2024 1:00,-0.860884233,1/30/2024 12:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,38:00:00,0,0,3.784121673,0,0,0,-0.860884233,0,0:00:00,0:00:00,38:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-3.30%,0.00%
89,2/8/2024 21:00,Sell,37.97816055,2/8/2024 15:00,36.61742258,2/8/2024 0:00,15:00:00,30.09278134,2/8/2024 21:00,45298.3,47934.2,46333.68,46940.274,47715.481,49467.985,5.82%,0.217005936,2/8/2024 22:00,-6.472649084,2/9/2024 18:00,1,FALSE,TRUE,FALSE,FALSE,21:00:00,1:00:00,0,0.217005936,0,0,0,-6.472649084,0,0,0:00:00,1:00:00,0:00:00,0:00:00,0:00:00,21:00:00,0:00:00,0:00:00,0.00%,5.82%,0.00%,0.00%
90,2/11/2024 20:00,Sell,55.55584412,2/11/2024 3:00,51.71058914,2/9/2024 13:00,38:00:00,37.74038796,2/11/2024 20:00,48020.2,49395.4,48247.685,49108.434,50264.862,51078.8955,2.86%,0.662637807,2/12/2024 6:00,-5.015805848,2/13/2024 1:00,1,FALSE,TRUE,FALSE,FALSE,29:00:00,10:00:00,0,0.662637807,0,0,0,-5.015805848,0,0,0:00:00,10:00:00,0:00:00,0:00:00,0:00:00,29:00:00,0:00:00,0:00:00,0.00%,2.86%,0.00%,0.00%
91,2/15/2024 8:00,Sell,51.02355916,2/14/2024 14:00,50.50327909,2/12/2024 15:00,47:00:00,51.43707589,2/15/2024 8:00,51960.1,51764.2,52065.575,52032.024,51913.782,51773.3315,-0.38%,1.203230941,2/15/2024 21:00,-1.729981274,2/15/2024 14:00,0,FALSE,FALSE,FALSE,TRUE,6:00:00,13:00:00,0,0,0,1.203230941,0,0,0,-1.729981274,0:00:00,0:00:00,0:00:00,13:00:00,0:00:00,0:00:00,0:00:00,6:00:00,0.00%,0.00%,0.00%,-0.38%
93,2/27/2024 16:00,Sell,37.62079102,2/27/2024 14:00,41.92193255,2/27/2024 2:00,12:00:00,30.15568723,2/27/2024 16:00,57084.1,62235.4,57555.195,60156.688,61033.937,62946.1685,9.02%,0.803726432,2/27/2024 21:00,-12.64082293,2/28/2024 17:00,1,FALSE,TRUE,FALSE,FALSE,25:00:00,5:00:00,0,0.803726432,0,0,0,-12.64082293,0,0,0:00:00,5:00:00,0:00:00,0:00:00,0:00:00,25:00:00,0:00:00,0:00:00,0.00%,9.02%,0.00%,0.00%
94,3/5/2024 4:00,Sell,59.60728152,3/4/2024 23:00,56.28452433,2/28/2024 16:00,127:00:00,56.9082615,3/5/2024 4:00,67450.1,65905.5,65772.585,65895.318,66743.113,68650.4925,-2.29%,12.36187937,3/5/2024 19:00,-2.816748974,3/5/2024 15:00,0,FALSE,FALSE,TRUE,FALSE,11:00:00,15:00:00,0,0,12.36187937,0,0,0,-2.816748974,0,0:00:00,0:00:00,15:00:00,0:00:00,0:00:00,0:00:00,11:00:00,0:00:00,0.00%,0.00%,-2.29%,0.00%
96,3/10/2024 19:00,Sell,50.85069532,3/10/2024 9:00,59.60728152,3/4/2024 23:00,130:00:00,32.03404383,3/10/2024 19:00,69465,71403.1,69954.765,71179.152,71807.632,69864.953,2.79%,3.548549629,3/11/2024 0:00,-5.621536025,3/12/2024 14:00,1,FALSE,TRUE,FALSE,FALSE,43:00:00,5:00:00,0,3.548549629,0,0,0,-5.621536025,0,0,0:00:00,5:00:00,0:00:00,0:00:00,0:00:00,43:00:00,0:00:00,0:00:00,0.00%,2.79%,0.00%,0.00%
97,3/11/2024 22:00,Sell,48.04033548,3/11/2024 9:00,59.60728152,3/4/2024 23:00,154:00:00,51.59594201,3/11/2024 22:00,72516.6,73003.6,71966.485,72272.86,71325.817,68937.617,0.67%,5.400970261,3/12/2024 17:00,-1.707746916,3/13/2024 8:00,1,TRUE,FALSE,FALSE,FALSE,34:00:00,19:00:00,5.400970261,0,0,0,-1.707746916,0,0,0,19:00:00,0:00:00,0:00:00,0:00:00,34:00:00,0:00:00,0:00:00,0:00:00,0.67%,0.00%,0.00%,0.00%
98,3/13/2024 18:00,Sell,60.74419767,3/13/2024 8:00,55.34701861,3/11/2024 17:00,39:00:00,62.15092063,3/13/2024 18:00,73199.9,70276,73111.48,70883.274,69299.212,67525.1925,-3.99%,10.40971367,3/15/2024 9:00,-0.931012201,3/14/2024 7:00,0,FALSE,FALSE,TRUE,FALSE,13:00:00,39:00:00,0,0,10.40971367,0,0,0,-0.931012201,0,0:00:00,0:00:00,39:00:00,0:00:00,0:00:00,0:00:00,13:00:00,0:00:00,0.00%,0.00%,-3.99%,0.00%
102,3/21/2024 12:00,Sell,65.81367742,3/20/2024 23:00,60.74419767,3/13/2024 8:00,183:00:00,57.91970839,3/21/2024 12:00,67292.3,64728.3,66054.345,64864.26,65406.603,67813.322,-3.81%,7.427744333,3/22/2024 21:00,-0.716278088,3/21/2024 13:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,33:00:00,0,0,7.427744333,0,0,0,-0.716278088,0,0:00:00,0:00:00,33:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-3.81%,0.00%
103,3/25/2024 10:00,Sell,36.10183675,3/25/2024 4:00,39.33298429,3/24/2024 23:00,5:00:00,42.49765755,3/25/2024 10:00,67058,70185.3,69728.59,70094.114,70130.17,69754.896,4.66%,0.380416952,3/25/2024 11:00,-6.846312148,3/26/2024 7:00,1,FALSE,TRUE,FALSE,FALSE,21:00:00,1:00:00,0,0.380416952,0,0,0,-6.846312148,0,0,0:00:00,1:00:00,0:00:00,0:00:00,0:00:00,21:00:00,0:00:00,0:00:00,0.00%,4.66%,0.00%,0.00%
104,3/28/2024 20:00,Sell,69.41399148,3/28/2024 14:00,57.24919267,3/25/2024 19:00,67:00:00,57.8774763,3/28/2024 20:00,70726.1,69859.8,70365.81,70103.29,70097.889,68424.664,-1.22%,2.440541752,3/29/2024 15:00,-0.582387549,3/28/2024 23:00,0,FALSE,FALSE,TRUE,FALSE,3:00:00,19:00:00,0,0,2.440541752,0,0,0,-0.582387549,0,0:00:00,0:00:00,19:00:00,0:00:00,0:00:00,0:00:00,3:00:00,0:00:00,0.00%,0.00%,-1.22%,0.00%
105,4/1/2024 3:00,Sell,72.95817373,3/31/2024 23:00,57.24919267,3/25/2024 19:00,148:00:00,63.03855,4/1/2024 3:00,70650.1,66252.2,69497.58,67603.566,67176.022,68259.9695,-6.22%,8.705012449,4/3/2024 0:00,-0.109129357,4/1/2024 4:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,45:00:00,0,0,8.705012449,0,0,0,-0.109129357,0,0:00:00,0:00:00,45:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-6.22%,0.00%
107,4/5/2024 1:00,Sell,61.81510147,4/4/2024 17:00,69.41399148,3/28/2024 14:00,171:00:00,44.58157857,4/5/2024 1:00,68165.6,69540.4,67434.37,67854.866,69158.302,69342.9085,2.02%,3.226847559,4/5/2024 12:00,-2.262724893,4/6/2024 23:00,1,TRUE,FALSE,FALSE,FALSE,46:00:00,11:00:00,3.226847559,0,0,0,-2.262724893,0,0,0,11:00:00,0:00:00,0:00:00,0:00:00,46:00:00,0:00:00,0:00:00,0:00:00,2.02%,0.00%,0.00%,0.00%
108,4/7/2024 12:00,Sell,47.92207559,4/7/2024 1:00,61.81510147,4/4/2024 17:00,56:00:00,36.62614484,4/7/2024 12:00,69334.4,70732.4,69524.955,70688.214,70182.242,68440.221,2.02%,0.653499562,4/7/2024 19:00,-5.12876725,4/8/2024 12:00,1,FALSE,TRUE,FALSE,FALSE,24:00:00,7:00:00,0,0.653499562,0,0,0,-5.12876725,0,0,0:00:00,7:00:00,0:00:00,0:00:00,0:00:00,24:00:00,0:00:00,0:00:00,0.00%,2.02%,0.00%,0.00%
109,4/8/2024 22:00,Sell,74.04957851,4/8/2024 11:00,48.04033548,3/11/2024 9:00,674:00:00,67.11492768,4/8/2024 22:00,71973.1,70584.4,70619.675,69814.524,69823.977,67189.368,-1.93%,6.150770218,4/10/2024 12:00,-0.144776312,4/8/2024 23:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,38:00:00,0,0,6.150770218,0,0,0,-0.144776312,0,0:00:00,0:00:00,38:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,-1.93%,0.00%
116,5/6/2024 13:00,Sell,66.74775595,5/6/2024 8:00,45.25247937,5/4/2024 0:00,56:00:00,51.43511519,5/6/2024 13:00,63856,62417.4,63481.91,63138.576,62612.621,62058.8795,-2.25%,3.318873716,5/8/2024 13:00,-0.839701829,5/7/2024 8:00,0,FALSE,FALSE,TRUE,FALSE,19:00:00,48:00:00,0,0,3.318873716,0,0,0,-0.839701829,0,0:00:00,0:00:00,48:00:00,0:00:00,0:00:00,0:00:00,19:00:00,0:00:00,0.00%,0.00%,-2.25%,0.00%
118,5/14/2024 22:00,Sell,58.14201128,5/13/2024 9:00,66.74775595,5/6/2024 8:00,169:00:00,17.48980389,5/14/2024 22:00,61679.9,65389.2,62720.025,64559.294,65584.886,67208.992,6.01%,0.589819374,5/15/2024 0:00,-8.301083497,5/16/2024 12:00,1,FALSE,TRUE,FALSE,FALSE,38:00:00,2:00:00,0,0.589819374,0,0,0,-8.301083497,0,0,0:00:00,2:00:00,0:00:00,0:00:00,0:00:00,38:00:00,0:00:00,0:00:00,0.00%,6.01%,0.00%,0.00%
,,,,,,,,,,,,,,,,,3.282157625,,-3.435573779,,49.28%,11,23,29,6,16:58:16,17:46:57,3.770333592,1.087204631,5.216184798,1.453356824,-1.551693835,-7.800693548,-0.785523017,-2.964973249,11:10:55,6:02:37,27:26:54,28:10:00,28:32:44,28:39:08,4:31:02,11:10:00,0.05%,4.70%,-2.80%,-0.08%
,,,,,,,,,,,,,,,,,,,,,,15.94%,33.33%,42.03%,8.70%,,,,,,,,,,,,,,,,,,,,,,
